sample_number, space_size, shape, density, rpu, rpi, gini_u, gini_i, pop_avg, pop_std, pop_skew, pop_kurtosis, long_tail_avg, long_tail_std, long_tail_skew, long_tail_kurtosis, UserKNN-Amplified, UserKNN-BM25, UserKNN-Cosine, UserKNN-IDF, ItemKNN-AdjustedCosine, BPR, MF, SVD, PMF, NMF
433, 1381452, 0.5555, 0.0634, 99.9463, 55.5187, 0.4762, 0.6262, 0.2001, 0.0435, 0.2669, 0.1160, 0.1643, 0.1046, 1.0699, 1.9288, 0.0344, 0.0349, 0.0357, 0.0346, 0.0561, 0.2099, 0.0998, 0.0998, 0.1204, 0.0528
434, 306306, 2.4034, 0.0600, 21.4172, 51.4734, 0.4862, 0.6247, 0.2000, 0.0622, 1.1744, 3.2528, 0.1606, 0.1407, 0.8501, 0.5755, 0.1371, 0.1507, 0.1431, 0.1479, 0.1312, 0.3355, 0.2049, 0.2049, 0.2402, 0.1684
435, 937765, 0.5004, 0.0613, 83.9708, 42.0161, 0.4656, 0.6356, 0.2005, 0.0443, 0.2894, 0.0600, 0.1657, 0.1076, 0.9485, 1.3966, 0.0416, 0.0445, 0.0452, 0.0443, 0.0612, 0.2305, 0.1066, 0.1066, 0.1352, 0.0664
436, 443070, 0.6753, 0.0612, 49.5448, 33.4580, 0.4688, 0.6360, 0.2096, 0.0527, 0.4163, 0.2084, 0.1534, 0.1136, 1.2865, 3.1356, 0.0635, 0.0686, 0.0683, 0.0681, 0.0788, 0.2805, 0.1367, 0.1367, 0.1808, 0.0972
437, 365505, 0.4667, 0.0593, 52.4479, 24.4757, 0.5001, 0.6371, 0.1872, 0.0475, 0.5366, 0.2510, 0.1695, 0.1176, 0.9816, 1.5752, 0.0663, 0.0703, 0.0690, 0.0701, 0.0618, 0.2651, 0.1279, 0.1279, 0.1822, 0.0824
438, 226005, 2.4295, 0.0608, 18.5331, 45.0262, 0.5190, 0.6301, 0.1737, 0.0571, -0.1438, 1.0379, 0.1903, 0.1950, 1.6984, 3.8060, 0.1297, 0.1256, 0.1248, 0.1259, 0.1262, 0.3446, 0.1648, 0.1648, 0.2169, 0.1553
439, 186880, 2.1918, 0.0600, 17.5234, 38.4075, 0.5032, 0.6372, 0.1870, 0.0535, -0.0366, 0.9241, 0.1644, 0.1724, 1.7379, 5.0814, 0.1674, 0.1787, 0.1779, 0.1785, 0.1320, 0.3329, 0.2214, 0.2214, 0.2492, 0.1963
440, 842688, 0.5881, 0.0610, 73.0114, 42.9407, 0.4772, 0.6309, 0.1990, 0.0442, 0.2048, 0.0905, 0.1630, 0.1136, 1.2025, 2.2826, 0.0465, 0.0485, 0.0489, 0.0481, 0.0632, 0.2370, 0.1001, 0.1001, 0.1341, 0.0633
441, 728424, 0.3944, 0.0611, 83.0951, 32.7734, 0.4597, 0.6410, 0.2025, 0.0442, 0.3055, 0.0755, 0.1660, 0.1039, 1.0911, 2.1116, 0.0438, 0.0452, 0.0456, 0.0451, 0.0523, 0.2382, 0.1102, 0.1102, 0.1372, 0.0619
442, 572118, 0.3927, 0.0657, 79.3059, 31.1442, 0.4794, 0.6220, 0.2067, 0.0457, 0.3007, 0.1955, 0.1637, 0.1093, 1.1264, 1.9866, 0.0498, 0.0536, 0.0537, 0.0534, 0.0586, 0.2403, 0.1174, 0.1174, 0.1324, 0.0769
